,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Genus,ScientificName,CommonName,Year,Date,Age
2,43163,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,222 Madison St,1.0,Sidewalk: Curb side : Cutout,Private,7/11/00 0:00,8,,37.72603642,-122.4226902,Acacia,Acacia melanoxylon,Blackwood Acacia,2000,2000-07-11 00:00:00,24
10,94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4.0,Sidewalk: Curb side : Cutout,Private,11/8/10 0:00,13,,37.79098842,-122.4508487,Maytenus,Maytenus boaria,Mayten,2010,2010-11-08 00:00:00,14
13,29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,6/13/15 0:00,3,3x3,37.7839498,-122.4126863,Lophostemon,Lophostemon confertus,Brisbane Box,2015,2015-06-13 00:00:00,9
14,82688,DPW Maintained,Crataegus laevigata :: English Hawthorn,1875 38th Ave,1.0,Sidewalk: Curb side : Cutout,Private,6/30/08 0:00,2,3x3,37.75197824,-122.4968327,Crataegus,Crataegus laevigata,English Hawthorn,2008,2008-06-30 00:00:00,16
18,30326,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,946 Capitol Ave,1.0,Sidewalk: Curb side : Cutout,Private,10/13/17 11:13,3,,37.71906925,-122.4591242,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2017,2017-10-13 11:13:00,7
21,106947,DPW Maintained,Prunus cerasifera :: Cherry Plum,2710 Baker St,2.0,Sidewalk: Curb side : Cutout,Private,7/2/14 0:00,1,3x3,37.79606292,-122.4453857,Prunus,Prunus cerasifera,Cherry Plum,2014,2014-07-02 00:00:00,10
27,46353,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Washington St,2.0,Sidewalk: Curb side : Cutout,Private,2/27/02 0:00,8,,37.79078673,-122.4412931,Magnolia,Magnolia grandiflora,Southern Magnolia,2002,2002-02-27 00:00:00,22
28,41683,Permitted Site,Pyrus kawakamii :: Evergreen Pear,68 Mars St,1.0,Sidewalk: Curb side : Cutout,Private,6/19/00 0:00,10,,37.76097966,-122.4446096,Pyrus,Pyrus kawakamii,Evergreen Pear,2000,2000-06-19 00:00:00,24
29,89070,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,610 18th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,3/3/08 0:00,2,3x3,37.77639009,-122.4768635,Laurus,Laurus nobilis,Sweet Bay: Grecian Laurel,2008,2008-03-03 00:00:00,16
31,89610,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',4201X Anza St,2.0,Sidewalk: Curb side : Cutout,DPW,11/5/15 7:01,3,3x3,37.77769248,-122.4933791,Tristaniopsis,Tristaniopsis laurina,Small-leaf Tristania 'Elegant',2015,2015-11-05 07:01:00,9
42,167503,Permitted Site,Leptospermum laevigatum :: Australian Tea Tree,3512 16th St,1.0,Sidewalk: Curb side : Cutout,Private,8/16/18 0:00,3,3x3,37.76441456,-122.4314733,Leptospermum,Leptospermum laevigatum,Australian Tea Tree,2018,2018-08-16 00:00:00,6
44,84674,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,4045 24th St,1.0,Sidewalk: Curb side : Cutout,Private,12/27/12 0:00,4,3x3,37.75130564,-122.4328702,Prunus,Prunus serrulata,Kwanzan Flowering Cherry,2012,2012-12-27 00:00:00,12
46,10331,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,838 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,4/12/07 0:00,8,5x5,37.77167675,-122.4361039,Prunus,Prunus serrulata,Kwanzan Flowering Cherry,2007,2007-04-12 00:00:00,17
