,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Genus,ScientificName,CommonName,Year,Date,Age
13,29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,6/13/15 0:00,3,3x3,37.7839498,-122.4126863,Lophostemon,Lophostemon confertus,Brisbane Box,2015,2015-06-13 00:00:00,9
18,30326,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,946 Capitol Ave,1.0,Sidewalk: Curb side : Cutout,Private,10/13/17 11:13,3,,37.71906925,-122.4591242,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2017,2017-10-13 11:13:00,7
70,26049,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,136 Broad St,1.0,Sidewalk: Curb side : Cutout,Private,3/10/07 0:00,3,3X3,37.71326115,-122.4573902,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2007,2007-03-10 00:00:00,17
97,5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5.0,Sidewalk: Curb side : Cutout,Private,5/7/92 0:00,12,4X4,37.78206203,-122.4296075,Lophostemon,Lophostemon confertus,Brisbane Box,1992,1992-05-07 00:00:00,32
108,16957,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,673 Oak St,2.0,Sidewalk: Curb side : Cutout,DPW,1/25/08 0:00,3,3X3,37.77398518,-122.4301281,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2008,2008-01-25 00:00:00,16
110,67486,DPW Maintained,Pittosporum undulatum :: Victorian Box,617 Wisconsin St,1.0,Sidewalk: Curb side : Cutout,Private,9/8/92 0:00,6,,37.75926202,-122.3990347,Pittosporum,Pittosporum undulatum,Victorian Box,1992,1992-09-08 00:00:00,32
111,92244,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1510 32nd Ave,2.0,Sidewalk: Curb side : Cutout,Private,7/23/09 0:00,1,3x3,37.75896284,-122.4907049,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,2009,2009-07-23 00:00:00,15
112,15201,DPW Maintained,Lophostemon confertus :: Brisbane Box,1120 Mission St,4.0,Sidewalk: Curb side : Cutout,DPW,4/12/95 0:00,6,3X3,37.77888219,-122.4114764,Lophostemon,Lophostemon confertus,Brisbane Box,1995,1995-04-12 00:00:00,29
120,1509,DPW Maintained,Pittosporum undulatum :: Victorian Box,364 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,10/15/96 0:00,9,3X3,37.78454089,-122.4587286,Pittosporum,Pittosporum undulatum,Victorian Box,1996,1996-10-15 00:00:00,28
124,22038,DPW Maintained,Lophostemon confertus :: Brisbane Box,2895 03rd St,6.0,Sidewalk: Curb side : Cutout,DPW,2/14/95 0:00,3,3X3,37.75340073,-122.3876708,Lophostemon,Lophostemon confertus,Brisbane Box,1995,1995-02-14 00:00:00,29
133,57164,DPW Maintained,Pittosporum undulatum :: Victorian Box,2989 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,10/26/74 0:00,15,,37.79116984,-122.4443019,Pittosporum,Pittosporum undulatum,Victorian Box,1974,1974-10-26 00:00:00,50
135,10479,DPW Maintained,Lophostemon confertus :: Brisbane Box,1654 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,12/2/07 0:00,12,3X3,37.769751,-122.4494797,Lophostemon,Lophostemon confertus,Brisbane Box,2007,2007-12-02 00:00:00,17
160,8671,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2900 Geary Blvd,3.0,Sidewalk: Curb side : Cutout,Private,2/22/96 0:00,7,3X3,37.78220247,-122.4504931,Tristaniopsis,Tristaniopsis laurina,Swamp Myrtle,1996,1996-02-22 00:00:00,28
192,37189,DPW Maintained,Pittosporum undulatum :: Victorian Box,1486 30th Ave,1.0,Sidewalk: Curb side : Cutout,Private,4/12/01 0:00,5,,37.75957389,-122.488576,Pittosporum,Pittosporum undulatum,Victorian Box,2001,2001-04-12 00:00:00,23
208,113643,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1400 MISSION ST,5.0,Sidewalk: Curb side : Cutout,Private,2/9/16 0:00,3,4x6,37.77527096,-122.4159838,Lophostemon,Lophostemon confertus,Brisbane Box,2016,2016-02-09 00:00:00,8
214,5026,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,10.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74277322,-122.436671,Metrosideros,Metrosideros excelsa,New Zealand Xmas Tree,1992,1992-01-06 00:00:00,32
