,year,count
0,1956,23
1,1969,14
2,1970,4
3,1972,104
4,1973,51
5,1974,24
6,1975,4
7,1976,19
8,1977,25
9,1978,10
10,1979,23
11,1980,49
12,1981,37
13,1982,57
14,1983,36
15,1984,46
16,1985,67
17,1986,64
18,1987,39
19,1988,42
20,1989,63
21,1990,193
22,1991,93
23,1992,213
24,1993,179
25,1994,159
26,1995,454
27,1996,205
28,1997,257
29,1998,429
30,1999,188
31,2000,370
32,2001,193
33,2002,237
34,2003,247
35,2004,131
36,2005,244
37,2006,430
38,2007,424
39,2008,708
40,2009,257
41,2010,153
42,2011,224
43,2012,160
44,2013,159
45,2014,237
46,2015,418
47,2016,355
48,2017,342
49,2018,285
50,2019,179
51,2020,205
52,2021,206
53,2022,2
